name,free-women,free-children,free-places,date
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-10-29
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-10-29
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-10-29
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Autonomes Frauenhaus Frankfurt,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Frauenhaus Frankfurter Verein I die kanne,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-10-29
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-10-29
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-10-29
Haus für Frauen in Not  Wiesbaden,1,0,Freie Plätze für Frauen ohne Kinder,2020-10-29
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-10-29
Haus für Frauen in Not Bad Schwalbach,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-10-29
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-10-30
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-10-30
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-10-30
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-30
Autonomes Frauenhaus Frankfurt,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-30
Frauenhaus Frankfurter Verein I die kanne,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-10-30
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-10-30
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-10-30
Haus für Frauen in Not  Wiesbaden,1,0,Freie Plätze für Frauen ohne Kinder,2020-10-30
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-10-30
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-10-30
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-10-30
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-10-31
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-10-31
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-10-31
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,0,0,Keine freien Plätze,2020-10-31
Autonomes Frauenhaus Frankfurt,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Frankfurter Verein I die kanne,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-31
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-10-31
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-10-31
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-10-31
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-10-31
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-10-31
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-10-31
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-10-31
