name,free-women,free-children,free-places,date
Frauenhaus Herford e.V.,0,0,Keine freien Plätze,2020-10-29
Hexenhaus -  Hilfe für Menschen in Krisensituationen e.V.,0,0,Keine freien Plätze,2020-10-29
AWO-Frauenschutzzentrum Minden,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Lippe,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Paderborn,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Salzkotten,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Gütersloh,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
AWO-Frauenhaus Bielefeld,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
"Frauen helfen Frauen - Frauenhaus e.V., Bielefeld",0,0,Keine freien Plätze,2020-10-29
Frauen- und Kinderschutzhaus Höxter,0,0,Keine freien Plätze,2020-10-29
Internationales Frauenhaus,0,0,Keine freien Plätze,2020-10-29
Frauen helfen Frauen e.V.  - Frauenhaus Düsseldorf,0,0,Keine freien Plätze,2020-10-29
Frauen- und Kinderschutzhaus für den Kreis Mettmann,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Mönchengladbach SkF e.V.,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Mönchengladbach-Rheydt,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Neuss,0,0,Keine freien Plätze,2020-10-29
Frauen- und Kinderschutzhaus Viersen,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Kreis Heinsberg,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Wuppertal,0,0,Keine freien Plätze,2020-10-29
Frauenhaus e.V. Solingen ,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Frauenhaus Remscheid,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Dortmund,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Castrop-Rauxel,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Frauenhaus Herne,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Bochum,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Frauenhaus Essen gGmbH,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Mülheim a. d. Ruhr,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Recklinghausen,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Herten,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Datteln,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Gelsenkirchen,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Oberhausen,0,0,Keine freien Plätze,2020-10-29
AWO-Frauenhaus Bottrop,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Dorsten,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Frauenhaus Bocholt,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Frauen helfen Frauen e.V. Dinslaken,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Frauenhaus Duisburg,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Frauen helfen Frauen e.V. - Duisburg,1,0,Freie Plätze für Frauen ohne Kinder,2020-10-29
Frauen- und Kinderschutzhaus Moers,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Kleve,0,0,Keine freien Plätze,2020-10-29
Frauen- und Kinderschutzhaus Krefeld,0,0,Keine freien Plätze,2020-10-29
Frauen- und Kinderschutzhäuser Münster,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Münster,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Warendorf,0,0,Keine freien Plätze,2020-10-29
Frauen- und Kinderschutzhaus Dülmen,0,0,Keine freien Plätze,2020-10-29
Frauenhaus Telgte,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Frauenhaus Rheine,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-10-29
Frauenhaus Rhein-Erftkreis e.V.,0,0,Keine freien Plätze,2020-10-29
2. Frauenhaus Köln,0,0,Keine freien Plätze,2020-10-29
1. Frauenhaus Köln,0,0,Keine freien Plätze,2020-10-29
